Group,length,Macrel,Macrel_probability,Out1,Out1 Prob,Out9,Out9 Prob,Vote2,Vote2 Prob,charge_pH7,charge_density,muH,KD_raw,KD_norm01,HelixProp,HRC_pct,SAI,Aromatic_frac,PG_frac,WWIHP_mean,Boman,Instability,pI,Hmoment,AIPx,Zsum,z_muH,z_charge_density,z_GRAVY,z_HelixProp,z_HRC,z_SAI,verdict,Macrel_AMP,AIPx_tier
C_neg,23,AMP,0.683,AMP,0.653,AMP,0.812,AMP,0.75,1.999,0.0869,0.902,0.148,0.516,0.99,39.13,0.049,0.043,0.261,-0.06,0.651,10.557,10.446,0.902,0.591,0.368,2.68,-0.63,0.19,-0.3,-0.39,-1.01,Unlikely,TRUE,Moderate
C_neg,14,AMP,0.614,AMP,0.555,NonAMP,0.718,NonAMP,0.656,4.997,0.3569,0.776,-0.943,0.395,1.102,42.86,-0.157,0.071,0.143,0.326,3.759,93.15,12.51,0.776,0.507,0.028,1.84,2.07,-4.17,0.26,-0.14,-2.38,Borderline,TRUE,Weak
N_neg,16,AMP,0.891,AMP,0.917,AMP,0.862,AMP,0.877,1.997,0.1248,0.464,1.294,0.644,1.006,62.5,0.431,0,0.25,-0.26,-1.544,19.744,10.805,0.464,0.711,0.902,-0.24,-0.25,4.77,-0.22,1.17,1.54,Borderline,TRUE,Strong
N_neg,14,AMP,0.603,AMP,0.661,AMP,0.914,AMP,0.858,4.998,0.357,0.807,-0.436,0.452,1.021,50,-0.073,0,0.214,-0.01,3.53,134.014,13.102,0.807,0.611,0.45,2.05,2.07,-2.14,-0.15,0.33,-1.82,AMP-like,TRUE,Moderate
N_neg,22,AMP,0.584,AMP,0.779,AMP,0.823,AMP,0.784,6.996,0.318,0.577,-0.155,0.483,1.147,50,-0.019,0,0,0.17,1.384,33.436,12.102,0.577,0.572,0.288,0.51,1.68,-1.02,0.48,0.33,-1.46,Borderline,TRUE,Moderate
N_neg,15,AMP,0.594,AMP,0.619,AMP,0.715,AMP,0.719,6.087,0.4058,0.518,-0.54,0.44,1.239,53.33,-0.067,0,0,0.358,1.775,25.407,12.055,0.518,0.551,0.205,0.12,2.56,-2.56,0.95,0.56,-1.78,AMP-like,TRUE,Moderate
N_neg,23,AMP,0.653,AMP,0.503,AMP,0.646,AMP,0.672,1.998,0.0869,0.549,0.352,0.539,1.015,47.83,0.117,0.043,0.13,-0.064,0.492,7.783,10.244,0.549,0.513,0.053,0.33,-0.63,1.01,-0.18,0.19,-0.55,Borderline,TRUE,Weak
N_neg,21,AMP,0.614,AMP,0.766,AMP,0.583,AMP,0.618,2.904,0.1383,0.543,0.019,0.502,0.954,33.33,0.004,0.048,0.143,0.021,1.544,29.933,8.987,0.543,0.421,-0.32,0.29,-0.12,-0.32,-0.48,-0.78,-1.31,Unlikely,TRUE,Weak
N_neg,21,AMP,0.584,AMP,0.682,AMP,0.7,AMP,0.693,2.935,0.1398,0.5,-0.295,0.467,1.028,42.86,-0.074,0.048,0.143,-0.05,0.823,-2.981,10.341,0.5,0.383,-0.478,0,-0.1,-1.58,-0.11,-0.14,-1.83,Borderline,TRUE,Weak
N_neg,16,AMP,0.614,AMP,0.54,AMP,0.665,AMP,0.609,-0.002,-1.00E-04,0.283,0.206,0.523,0.786,37.5,0.206,0,0.562,-0.053,-0.594,55.606,6.1,0.283,0.296,-0.867,-1.45,-1.5,0.42,-1.32,-0.5,0.04,Unlikely,TRUE,Weak
P_A30K,8,AMP,0.594,AMP,0.605,AMP,0.665,AMP,0.65,-0.002,-3.00E-04,0.222,2.612,0.79,1.028,87.5,2.612,0,0.25,-0.654,-3.419,29.225,6.1,0.222,0.94,2.76,-1.85,-1.5,10.05,-0.11,2.83,16.08,Unlikely,TRUE,Strong
P_A30K,8,AMP,0.614,AMP,0.685,AMP,0.782,AMP,0.788,0.998,0.1247,0.549,1.6,0.678,1.024,75,0.8,0.125,0.125,-0.527,-1.604,-11.288,9.7,0.549,0.834,1.612,0.33,-0.25,6,-0.13,2,4,Unlikely,TRUE,Strong
P_A30K,8,AMP,0.584,AMP,0.663,AMP,0.68,AMP,0.721,0.998,0.1247,0.534,1.575,0.675,1.029,75,0.787,0.125,0.125,-0.444,-1.598,-4.275,9.7,0.534,0.827,1.567,0.23,-0.25,5.9,-0.11,2,3.91,Unlikely,TRUE,Strong
P_A30K,11,AMP,0.584,AMP,0.645,NonAMP,0.557,NonAMP,0.546,0.998,0.0907,0.341,1.6,0.678,1.089,81.82,0.8,0.182,0.091,-0.606,-1.601,12.936,9.7,0.341,0.788,1.314,-1.06,-0.59,6,0.19,2.45,4,Unlikely,TRUE,Strong
P_A30K,19,AMP,0.634,AMP,0.59,NonAMP,0.591,NonAMP,0.507,1.998,0.1052,0.909,0.768,0.585,0.993,57.89,0.256,0.105,0.158,-0.274,0.466,40.295,12.5,0.909,0.753,1.117,2.73,-0.45,2.67,-0.29,0.86,0.37,AMP-like,TRUE,Strong
P_A30K,16,AMP,0.604,AMP,0.512,NonAMP,0.509,NonAMP,0.504,0.999,0.0624,0.666,1.106,0.623,1.026,56.25,0.553,0.188,0.188,-0.319,-0.628,43.938,9.297,0.666,0.738,1.035,1.11,-0.88,4.02,-0.12,0.75,2.35,AMP-like,TRUE,Strong
P_A30K,18,AMP,0.614,AMP,0.566,NonAMP,0.541,AMP,0.526,1.998,0.111,0.909,0.6,0.567,0.981,55.56,0.2,0.111,0.167,-0.219,0.766,41.978,12.5,0.909,0.723,0.958,2.73,-0.39,2,-0.35,0.7,0,AMP-like,TRUE,Strong
P_A30K,21,AMP,0.772,AMP,0.717,AMP,0.85,AMP,0.788,0.937,0.0446,0.594,1.19,0.632,1.01,57.14,0.595,0.095,0.19,-0.32,-0.874,19.233,8.523,0.594,0.722,0.955,0.63,-1.05,4.36,-0.2,0.81,2.63,AMP-like,TRUE,Strong
P_A30K,12,AMP,0.644,AMP,0.748,AMP,0.638,AMP,0.669,0.998,0.0831,0.618,0.925,0.603,0.93,66.67,0.462,0.083,0.333,-0.458,-1.439,31.433,9.7,0.618,0.703,0.859,0.79,-0.67,3.3,-0.6,1.44,1.75,AMP-like,TRUE,Strong
P_A30K,17,AMP,0.634,AMP,0.601,AMP,0.557,AMP,0.586,1.998,0.1175,0.909,0.471,0.552,0.972,52.94,0.157,0.059,0.176,-0.132,0.986,43.859,12.5,0.909,0.697,0.831,2.73,-0.32,1.48,-0.39,0.53,-0.29,AMP-like,TRUE,Strong
P_A30K,19,AMP,0.713,AMP,0.857,AMP,0.836,AMP,0.836,2.998,0.1578,0.657,0.863,0.596,0.991,52.63,0.216,0.105,0.158,-0.366,0.249,3.963,12.516,0.657,0.685,0.778,1.05,0.08,3.05,-0.3,0.51,0.11,AMP-like,TRUE,Strong
